speaker_id,birth place,city,native language,other language(s),age,sex,age of english onset,english learning method,english residence,length of english residence,language
43,"plovdiv, bulgaria",plovdiv,bulgarian,russian,22,male,20,naturalistic,usa,2 years,bulgarian4
44,"sofia, bulgaria",sofia,bulgarian,russian,23,male,14,academic,usa,9 years,bulgarian5
45,"hong kong, china",hong kong,cantonese,mandarin,22,female,12,academic,usa,1 years,cantonese1
46,"hong kong, china",hong kong,cantonese,mandarin,20,male,13,academic,usa,0.3 years,cantonese2
47,"hong kong, china",hong kong,cantonese,french mandarin,22,male,6,academic,uk,0.1 years,cantonese3
48,"fuzhou, fujian, china",fuzhou,cantonese,mandarin,29,female,13,academic,usa,4 years,cantonese4
49,"hong kong, china",hong kong,cantonese,mandarin,18,male,14,academic,new zealand,0.7 years,cantonese5
50,"saipan, saipan, northern mariana islands",saipan,carolinian,chamorro chuukese,32,female,6,academic,usa,10 years,carolinian1
51,"tarragona, spain",tarragona,catalan,spanish french,39,male,13,academic,uk,0.2 years,catalan1
52,"saipan, saipan, northern mariana islands",saipan,chamorro,japanese,18,male,1,naturalistic,usa,0.2 years,chamorro1
53,"prague, czech republic",prague,czech,russian spanish,27,female,10.5,academic,usa,1.5 years,czech1
54,"horsens, denmark",horsens,danish,kiswahili,45,female,11,academic,usa,8 years,danish1
55,"haslev, denmark",haslev,danish,french italian,37,female,8,academic,usa,4 years,danish2
56,"kabul, zoroastrian, afghanistan",kabul,dari,farsi urdu hindi-urdu,25,female,13,academic,usa,5 years,dari1
57,"nijmegen, netherlands",nijmegen,dutch,german,38,male,13,academic,uk,0.1 years,dutch1
58,"amsterdam, netherlands",amsterdam,dutch,french german,41,male,14,academic,uk,0.1 years,dutch2
59,"okene, nigeria",okene,ebira,hausa,35,male,3,naturalistic,usa,7 years,ebira1
60,"benin city, nigeria",benin city,edo,pidgin,25,male,6,academic,usa,4 years,edo1
61,"pittsburgh, pennsylvania, usa",pittsburgh,english,mandarin,42,male,0,naturalistic,usa,41 years,english1
62,"davenport, iowa, usa",davenport,english,none,35,female,0,naturalistic,usa,35 years,english10
63,"miami, florida, usa",miami,english,none,23,female,0,naturalistic,usa,23 years,english100
64,"toronto, ontario, canada",toronto,english,french mandarin,18,female,0,naturalistic,canada,18 years,english101
65,"torrington, connecticut, usa",torrington,english,none,22,male,0,naturalistic,usa,22 years,english102
66,"staten island, new york, usa",staten island,english,german,21,male,0,naturalistic,usa,21 years,english103
67,"youngstown, ohio, usa",youngstown,english,spanish,18,female,0,naturalistic,usa,18 years,english104
68,"staffordshire, uk",staffordshire,english,french,35,female,0,naturalistic,uk,35 years,english11
69,"leicester, uk",leicester,english,french,71,female,0,naturalistic,uk,71 years,english12
70,"henley on thames, oxfordshire, uk",henley on thames,english,none,69,male,0,naturalistic,uk,69 years,english13
71,"belfast, northern ireland, uk",belfast,english,french,40,male,0,naturalistic,"uk,usa",40 years,english14
72,"norton, virginia, usa",norton,english,none,7,female,0,naturalistic,usa,7 years,english15
73,"wise, virginia, usa",wise,english,spanish,21,male,0,naturalistic,usa,21 years,english16
74,"darwin va, virginia, usa",darwin va,english,none,79,male,0,naturalistic,usa,79 years,english17
75,"dickenson county, virginia, usa",dickenson county,english,none,39,female,0,naturalistic,usa,39 years,english18
76,"louisville, kentucky, usa",louisville,english,spanish,53,male,0,naturalistic,usa,53 years,english19
77,"birmingham, uk",birmingham,english,german mandarin,30,female,0,naturalistic,uk,30 years,english2
78,"mt. holly, north carolina, usa",mt. holly,english,none,27,female,0,naturalistic,usa,27 years,english20
79,"boston, massachusetts, usa",boston,english,italian,37,female,0,naturalistic,usa,37 years,english21
80,"panama city, panama",panama city,english,spanish,25,female,0,naturalistic,usa,5 years,english22
81,"englewood, tennessee, usa",englewood,english,none,43,male,0,naturalistic,usa,43 years,english23
82,"glasgow, scotland, uk",glasgow,english,french,37,male,0,naturalistic,"uk,usa",37 years,english24
83,"atlanta, georgia, usa",atlanta,english,none,57,male,0,naturalistic,usa,57 years,english25
84,"smith island, maryland, usa",smith island,english,none,71,male,0,naturalistic,usa,71 years,english26
85,"smith island, maryland, usa",smith island,english,none,37,female,0,naturalistic,usa,37 years,english27
86,"toronto, ontario, canada",toronto,english,french russian,54,male,0,naturalistic,canada,54 years,english28
87,"lindsay, ontario, canada",lindsay,english,none,54,female,0,naturalistic,canada,54 years,english29
88,"brisbane, australia",brisbane,english,none,26,female,0,naturalistic,australia,26 years,english3
89,"st. mary's, ontario, canada",st. mary's,english,french swedish,30,female,0,naturalistic,canada,30 years,english30
90,"st. augustine, trinidad",st. augustine,english,none,31,female,0,naturalistic,"trinidad,usa",31 years,english31
91,"fresno, california, usa",fresno,english,none,50,female,0,naturalistic,usa,50 years,english32
92,"san diego, california, usa",san diego,english,none,21,male,0,naturalistic,usa,21 years,english33
93,"ronkonkoma, new york, usa",ronkonkoma,english,french,18,female,0,naturalistic,usa,18 years,english34
94,"milwaukee, wisconsin, usa",milwaukee,english,spanish,60,female,0,naturalistic,usa,60 years,english35
95,"arcadia, wisconsin, usa",arcadia,english,none,60,male,0,naturalistic,usa,60 years,english36
96,"yole, india",yole,english,hindi-urdu french,28,female,0,naturalistic,usa,7 years,english37
97,"littlehampton, uk",littlehampton,english,none,27,male,0,naturalistic,uk,27 years,english38
98,"new orleans, louisiana, usa",new orleans,english,none,59,female,0,naturalistic,usa,59 years,english39
99,"saint anne's bay, jamaica",saint anne's bay,english,spanish french,53,female,0,naturalistic,"jamaica,usa",53 years,english4
100,"dudley, uk",dudley,english,none,53,male,0,naturalistic,uk,53 years,english40
101,"wellington, new zealand",wellington,english,hebrew french,44,male,0,naturalistic,new zealand,21 years,english41
102,"nigel, south africa",nigel,english,afrikaans zulu,65,male,0,naturalistic,south africa,60 years,english42
103,"vancouver, british columbia, canada",vancouver,english,none,47,male,0,naturalistic,canada,47 years,english43
104,"winston salem, north carolina, usa",winston salem,english,spanish french,63,female,0,naturalistic,usa,63 years,english44
105,"pine bluff, arkansas, usa",pine bluff,english,none,52,male,0,naturalistic,usa,52 years,english45
106,"creswell, north carolina, usa",creswell,english,none,73,male,0,naturalistic,usa,73 years,english46
107,"plantersville, arkansas, usa",plantersville,english,none,76,female,0,naturalistic,usa,76 years,english47
108,"port moresby, national capital district, papua new guinea",port moresby,english,tok pisin igbo,26,male,0,naturalistic,"papua new guinea,uk,usa",26 years,english48
109,"castro valley, california, usa",castro valley,english,none,43,male,0,naturalistic,usa,43 years,english49
110,"fairfax, virginia, usa",fairfax,english,none,62,male,0,naturalistic,usa,62 years,english5
111,"baltic, south dakota, usa",baltic,english,french,29,female,0,naturalistic,usa,29 years,english50
112,"detroit, michigan, usa",detroit,english,italian,67,male,0,naturalistic,usa,67 years,english51
113,"calgary, alberta, canada",calgary,english,none,20,male,0,naturalistic,"canada, usa",20 years,english52
114,"syracuse, new york, usa",syracuse,english,none,63,male,0,naturalistic,usa,63 years,english53
115,"new albany, indiana, usa",new albany,english,none,40,female,0,naturalistic,usa,40 years,english54
116,"st. louis, missouri, usa",st. louis,english,none,53,female,0,naturalistic,usa,53 years,english55
117,"londonderry, northern ireland, uk",londonderry,english,ulster scots,20,male,0,naturalistic,northern ireland,20 years,english56
118,"birmingham 1, uk",birmingham 1,english,french spanish,34,male,0,naturalistic,"uk,canada",34 years,english57
119,"southhampton, uk",southhampton,english,none,46,female,0,naturalistic,"uk,usa",16 years,english58
120,"columbus, ohio, usa",columbus,english,greek german,30,male,0,naturalistic,usa,30 years,english59
121,"brooklyn, new york, usa",brooklyn,english,french spanish,45,female,0,naturalistic,usa,45 years,english6
122,"chesapeake, virginia, usa",chesapeake,english,none,18,male,0,naturalistic,usa,18 years,english60
123,"toronto, ontario, canada",toronto,english,none,19,male,0,naturalistic,canada,19 years,english61
124,"west jordan, utah, usa",west jordan,english,none,30,male,0,naturalistic,usa,30 years,english62
125,"lewisville, texas, usa",lewisville,english,spanish,21,male,0,naturalistic,usa,21 years,english63
126,"montreal, quebec, canada",montreal,english,french,25,female,0,naturalistic,canada,25 years,english64
127,"lewistown, pennsylvania, usa",lewistown,english,none,47,male,0,naturalistic,usa,47 years,english65
128,"baltimore, maryland, usa",baltimore,english,none,19,male,0,naturalistic,usa,19 years,english66
129,"princeton, indiana, usa",princeton,english,french,37,male,0,naturalistic,usa,37 years,english67
130,"new york, new york, usa",new york,english,none,52,male,0,naturalistic,usa,52 years,english68
131,"adelaide, australia",adelaide,english,korean,23,male,0,naturalistic,australia,23 years,english69
132,"macon, mississippi, usa",macon,english,spanish french,52,male,0,naturalistic,usa,52 years,english7
133,"beaumont, texas, usa",beaumont,english,none,21,male,0,naturalistic,usa,21 years,english70
134,"west covina, california, usa",west covina,english,none,20,male,0,naturalistic,usa,20 years,english71
135,"kilkenny, ireland",kilkenny,english,irish,31,male,0,naturalistic,ireland,31 years,english72
136,"darwin, australia",darwin,english,none,24,male,0,naturalistic,australia,24 years,english73
137,"wichita, kansas, usa",wichita,english,spanish,21,male,0,naturalistic,usa,21 years,english74
138,"idaho falls, idaho, usa",idaho falls,english,none,32,male,0,naturalistic,usa,32 years,english75
139,"boston, massachusetts, usa",boston,english,french spanish hebrew,18,female,0,naturalistic,usa,18 years,english76
140,"melbourne, australia",melbourne,english,japanese,26,male,0,naturalistic,australia,26 years,english77
141,"caribou, maine, usa",caribou,english,french,20,female,0,naturalistic,usa,20 years,english78
142,"boston, massachusetts, usa",boston,english,none,73,male,0,naturalistic,usa,73 years,english79
143,"perth, australia",perth,english,french,21,female,0,naturalistic,"australia,usa",4 years,english8
144,"glasgow, scotland, uk",glasgow,english,none,34,male,0,naturalistic,"uk, canada",34 years,english80
145,"st. paul, minnesota, usa",st. paul,english,spanish,30,male,0,naturalistic,usa,30 years,english81
146,"chicago, illinois, usa",chicago,english,none,50,female,0,naturalistic,usa,50 years,english82
147,"winnfield, louisiana, usa",winnfield,english,french,42,female,0,naturalistic,usa,42 years,english83
148,"sydney, australia",sydney,english,tok pisin,45,male,0,naturalistic,australia,45 years,english84
149,"strabane, northern ireland, uk",strabane,english,none,31,male,0,naturalistic,uk,31 years,english85
150,"charleston, south carolina, usa",charleston,english,spanish,50,male,0,naturalistic,usa,50 years,english86
151,"tamworth, australia",tamworth,english,esperanto german,18,female,0,naturalistic,australia,18 years,english87
152,"grand rapids, michigan, usa",grand rapids,english,none,18,male,0,naturalistic,usa,18 years,english88
153,"kingston ma, massachusetts, usa",kingston ma,english,spanish,18,male,0,naturalistic,usa,18 years,english89
154,"carthage, texas, usa",carthage,english,spanish,48,female,0,naturalistic,usa,48 years,english9
155,"pittsburgh, pennsylvania, usa",pittsburgh,english,none,53,male,0,naturalistic,usa,53 years,english90
156,"kingston, jamaica",kingston,english,patois,23,male,0,naturalistic,jamaica,23 years,english91
157,"wisconsin rapids, wisconsin, usa",wisconsin rapids,english,none,22,female,0,naturalistic,usa,22 years,english92
158,"mamou, louisiana, usa",mamou,english,none,22,female,0,naturalistic,usa,22 years,english93
159,"pensacola, florida, usa",pensacola,english,none,55,female,0,naturalistic,usa,55 years,english94
160,"mishawaka, indiana, usa",mishawaka,english,none,18,male,0,naturalistic,usa,18 years,english95
161,"point pleasant, new jersey, usa",point pleasant,english,russian,31,male,0,naturalistic,usa,31 years,english96
162,"wilmington nc, north carolina, usa",wilmington nc,english,spanish,42,male,0,naturalistic,usa,42 years,english97
163,"spokane, washington, usa",spokane,english,spanish,22,male,0,naturalistic,usa,22 years,english98
164,"pittsburgh, pennsylvania, usa",pittsburgh,english,french spanish,52,female,0,naturalistic,usa,52 years,english99
165,"accra, ghana",accra,ewe,twi ga,25,male,9,academic,usa,12 years,ewe1
166,"malabo, equatorial guinea",malabo,fang,french spanish,20,female,11,academic,usa,1 years,fang1
167,"ajumako, ghana",ajumako,fanti,none,32,male,6,academic,usa,7 years,fanti1
168,"tehran, iran",tehran,farsi,german,22,male,13,academic,usa,0.6 years,farsi1
169,"esfahan, iran",esfahan,farsi,none,34,female,18,academic,usa,1.5 years,farsi2
170,"esfahan, iran",esfahan,farsi,arabic,28,female,14,academic,usa,3 years,farsi3
171,"mazandran, iran",mazandran,farsi,arabic,21,female,15,academic,usa,1.5 years,farsi4
172,"tehran, iran",tehran,farsi,turkish,43,male,14,academic,usa,22 years,farsi5
173,"tehran, iran",tehran,farsi,arabic,27,male,9,naturalistic,usa,6 years,farsi6
174,"tehran, iran",tehran,farsi,none,29,male,11,academic,usa,2 years,farsi7
175,"tehran, iran",tehran,farsi,french,29,female,11,academic,usa,1.75 years,farsi8
176,"tehran, iran",tehran,farsi,none,39,male,12,academic,,0 years,farsi9
177,"lahti, finland",lahti,finnish,swedish german,22,female,9,academic,usa,0.5 years,finnish1
178,"helsinki, finland",helsinki,finnish,swedish,20,male,7,academic,,0 years,finnish2
179,"st. laurent d'onay, france",st. laurent d'onay,french,spanish,20,female,12,academic,usa,0.4 years,french1
180,"tunis, tunisia",tunis,french,arabic,19,male,14,academic,usa,0.5 years,french2
181,"nice, france",nice,french,german,22,female,11,academic,usa,0.2 years,french3
182,"abidjan, ivory coast",abidjan,french,appolo baoule,31,female,14,academic,usa,9 years,french4
183,"douala, cameroon",douala,french,pidgin banganthe,36,female,11,academic,usa,4 years,french5
184,"booue, gabon",booue,french,none,26,female,13,academic,usa,1 years,french6
185,"rimouski, quebec, canada",rimouski,french,none,18,male,5,academic,canada,18 years,french7
186,"ghent, belgium",ghent,french,german dutch italian,66,male,16,academic,,0 years,french8
187,"akkrum, friesland, netherlands",akkrum,frisian,dutch german french,62,male,13,academic,"usa,canada",27 years,frisian1
188,"tbilisi, republic of georgia",tbilisi,georgian,russian,30,female,28,academic,usa,2 years,georgian1
189,"dusseldorf, germany",dusseldorf,german,french dutch,48,female,12,academic,usa,25 years,german1
190,"bemberg, germany",bemberg,german,none,29,female,12,academic,usa,0.5 years,german2
191,"meissen, germany",meissen,german,french latin,19,female,12,academic,usa,0.5 years,german3
192,"stuttgart, germany",stuttgart,german,french italian,19,female,11,academic,usa,0.5 years,german4
193,"halle, germany",halle,german,none,47,male,12,academic,usa,0.2 years,german5
194,"vienna, austria",vienna,german,russian ukrainian italian hungarian,28,male,8,academic,,0 years,german6
195,"athens, greece",athens,greek,none,19,male,9,academic,usa,0.25 years,greek1
196,"athens, greece",athens,greek,french,26,female,9,academic,usa,1.5 years,greek2
197,"karprenici, greece",karprenici,greek,none,37,female,15,academic,usa,22 years,greek3
198,"ahmedabad, india",ahmedabad,gujarati,hindi-urdu,20,male,15,academic,usa,0.5 years,gujarati1
199,"bombay, india",bombay,gujarati,hindi-urdu sanskrit punjabi,22,male,8,academic,usa,0.3 years,gujarati2
200,"limerick, ireland",limerick,gujarati,hindi-urdu,28,female,2,naturalistic,"india,usa,ireland",3 years,gujarati3
201,"nairobi, kenya",nairobi,gusii,kiswahili kikuyu,44,male,12,academic,usa,15 years,gusii1
202,"yehud, israel",yehud,hebrew,none,23,male,10,academic,,0 years,hebrew1
203,"jerusalem, israel",jerusalem,hebrew,none,24,male,10,academic,,0 years,hebrew2
204,"haifa, israel",haifa,hebrew,none,33,male,8,academic,usa,1.5 years,hebrew3
205,"haifa, israel",haifa,hebrew,spanish,20,female,9,academic,canada,0.5 years,hebrew4
206,"netanya, israel",netanya,hebrew,none,23,male,10,academic,usa,3 years,hebrew5
207,"nagpur, maharashtra, india",nagpur,hindi,marathi punjabi,27,male,2,academic,"uk,usa",3.5 years,hindi1
208,"taipei, taiwan",taipei,xiang,mandarin japanese cantonese,50,female,14,academic,usa,30 years,xiang1
209,"cegled, hungary",cegled,hungarian,none,22.5,female,20,academic,"uk,usa",1.5 years,hungarian1
210,"clug, romania",clug,hungarian,romanian german,22,female,8,academic,usa,1 years,hungarian2
211,"brasov, romania",brasov,hungarian,romanian,34,male,8,academic,usa,5 years,hungarian3
212,"imo state, imo state, nigeria",imo state,igbo,none,23,female,12,academic,usa,0.4 years,igbo1
213,"jakarta, indonesia",jakarta,indonesian,none,31,male,13,academic,usa,11 years,indonesian1
214,"jakarta, indonesia",jakarta,indonesian,dutch german swedish,18,male,13,academic,canada,2.5 years,indonesian2
215,"jakarta, indonesia",jakarta,indonesian,none,32,female,13,academic,usa,0.6 years,indonesian3
216,"jakarta, indonesia",jakarta,indonesian,javanese sundanese spanish mandarin japanese,30,female,10,academic,usa,6.5 years,indonesian4
217,"carbonia, italy",carbonia,italian,french,29,female,22,academic,usa,3.5 years,italian1
218,"caltanissetta, sicily, italy",caltanissetta,italian,latin french spanish,46,male,18,academic,usa,0.3 years,italian2
219,"florence, italy",florence,italian,french japanese,55,male,21,academic,usa,34 years,italian3
220,"cremona, italy",cremona,italian,none,47,female,11,academic,usa,0.2 years,italian4
221,"tokyo, japan",tokyo,japanese,sign language,25,female,12,academic,usa,2 years,japanese1
222,"tokyo, japan",tokyo,japanese,none,27,female,12,academic,usa,1.3 years,japanese2
223,"kofu, yamanashi prefecture, japan",kofu,japanese,german,49,female,12,academic,usa,3 years,japanese3
224,"tokyo, japan",tokyo,japanese,none,20,male,15,academic,usa,0.75 years,japanese4
225,"chiba, japan",chiba,japanese,mandarin,25,female,12,academic,usa,0.4 years,japanese5
226,"kawasaki, japan",kawasaki,japanese,spanish,30,female,10,academic,"usa,canada",12 years,japanese6
227,"osaka, japan",osaka,japanese,german,18,male,12,academic,,0 years,japanese7
228,"bangalore, india",bangalore,kannada,hindi-urdu,26,female,5,academic,usa,4 years,kannada1
229,"semey, kazakhstan",semey,kazakh,russian italian turkish,18,male,9,academic,,0 years,kazakh1
230,"phnom penh, cambodia",phnom penh,khmer,none,21,female,16,academic,usa,3 years,khmer1
231,"phnom penh, cambodia",phnom penh,khmer,none,19,male,16,academic,usa,4 years,khmer2
232,"baling, kampongthum, cambodia",baling,khmer,french,46,male,25,academic,usa,5.5 years,khmer3
233,"bishkek, kyrgyzstan",bishkek,kyrgyz,russian,32,female,28,academic,usa,2 years,kyrgyz1
234,"dar-es-salaam, tanzania",dar-es-salaam,kiswahili,chagga,22,male,6,academic,usa,0.3 years,kiswahili1
235,"kigoma, tanzania",kigoma,kiswahili,kiha,28,male,16,academic,usa,0.3 years,kiswahili2
236,"nairobi, kenya",nairobi,kiswahili,kikuyu,29,male,6,academic,usa,10 years,kiswahili3
237,"goma, north kivu, democratic republic of congo",goma,kiswahili,french lingala,36,male,34,academic,usa,1 years,kiswahili4
238,"ui jong bu, south korea",ui jong bu,korean,french,29,male,13,academic,usa,1.1 years,korean1
239,"taegu, south korea",taegu,korean,none,23,female,14,academic,usa,0.1 years,korean2
240,"seoul, south korea",seoul,korean,spanish,19,female,17,academic,usa,0.6 years,korean3
241,"seoul, south korea",seoul,korean,none,29,female,15,academic,usa,2 years,korean4
242,"seoul, south korea",seoul,korean,none,50,female,12,academic,usa,23 years,korean5
243,"sunchun, south korea",sunchun,korean,none,21,female,12,academic,,0 years,korean6
244,"seoul, south korea",seoul,korean,french,32,male,10,academic,usa,23 years,korean7
245,"freetown, sierra leone",freetown,krio,none,46,female,5,academic,usa,16 years,krio1
246,"arbil, iraq",arbil,kurdish,french farsi,24,male,15,academic,usa,1.5 years,kurdish1
247,"leworook, nusa tenggara, indonesia",leworook,lamaholot,indonesian sikka kupang nagi,30,male,13,academic,usa,0.25 years,lamaholot1
248,"savannakhet, laos",savannakhet,lao,none,19,female,12,academic,usa,1 years,lao1
249,"vientiane, laos",vientiane,lao,thai,25,female,21,academic,usa,3 years,lao2
250,"riga, latvia",riga,latvian,russian,24,female,13,academic,usa,0.2 years,latvian1
251,"klaipeda, lithuania",klaipeda,lithuanian,russian german,27,female,24,naturalistic,usa,3 years,lithuanian1
252,"siaya, kenya",siaya,luo,swahili giriama,42,male,12,academic,"uk, usa",2 years,luo1
253,"ohrid, macedonia",ohrid,macedonian,serbian bulgarian spanish,19,male,11,academic,usa,2.25 years,macedonian1
254,"kuala lumpur, malaysia",kuala lumpur,malay,italian arabic spanish,28,female,3,academic,usa,10.5 years,malay1
255,"kerala state, kerala state, india",kerala state,malayalam,hindi-urdu,24,male,5,academic,usa,0.7 years,malayalam1
256,"shanxi province, shanxi, china",shanxi province,mandarin,none,26,female,13,academic,usa,2 years,mandarin1
257,"nanjing, china",nanjing,mandarin,japanese,38,female,14,academic,usa,0.8 years,mandarin2
258,"jilin city, jilin, china",jilin city,mandarin,italian german french,43,male,10,academic,usa,14 years,mandarin3
259,"shanghai, china",shanghai,mandarin,japanese,24,female,6,academic,usa,1 years,mandarin4
260,"beijing, china",beijing,mandarin,none,31,female,12,academic,usa,2 years,mandarin5
261,"le shan, sichuan, china",le shan,mandarin,none,28,female,12,academic,usa,5 years,mandarin6
262,"berkeley, california, usa",berkeley,mandarin,mandarin,22,male,5,naturalistic,usa,22 years,mandarin7
263,"freetown, sierra leone",freetown,mandingo,krio mende temne,36,male,9,academic,usa,3.5 years,mandingo1
264,"bombay, india",bombay,marathi,gujarati hindi-urdu,21,female,3,academic,usa,4 years,marathi1
265,"madras, india",madras,marathi,hindi-urdu,28,male,10,academic,usa,0.5 years,marathi2
266,"port louis, mauritius",port louis,mauritian,french,21,male,5,academic,usa,0.2 years,mauritian1
267,"ulaanbaatar, mongolia",ulaanbaatar,mongolian,russian,18,female,15,naturalistic,usa,3 years,mongolian1
268,"ulaanbaatar, mongolia",ulaanbaatar,mongolian,russian,22,male,17,academic,usa,0.25 years,mongolian2
269,"tenkodogo, burkina faso",tenkodogo,moore,french,29,female,12,academic,usa,8 years,moore1
270,"weno, chuuk, federated states of micronesia",weno,mortlockese,chuukese pohnpeian,21,male,6,academic,usa,3 years,mortlockese1
271,"kathmandu, nepal",kathmandu,nepali,hindi-urdu,22,female,5,academic,usa,4 years,nepali1
272,"drammen, norway",drammen,norwegian,french,33,female,10,academic,usa,0.3 years,norwegian1
273,"oslo, norway",oslo,norwegian,french german,55,female,12,academic,usa,32 years,norwegian2
274,"volda, norway",volda,norwegian,swedish danish german,19,male,5,naturalistic,usa,0.8 years,norwegian3
275,"wellga, ethiopia",wellga,oromo,amharic,33,female,11,academic,usa,11 years,oromo1
276,"kolonia, pohnpei, federated states of micronesia",kolonia,pohnpeian,chuukese,18,male,3,naturalistic,usa,0.25 years,pohnpeian1
277,"janow, poland",janow,polish,german,26,female,23,academic,usa,0.25 years,polish1
278,"mielec, poland",mielec,polish,russian german,26,female,25,academic,usa,1 years,polish2
279,"nowy sacz, poland",nowy sacz,polish,russian japanese spanish,31,female,12,academic,usa,10 years,polish3
280,"krakow, poland",krakow,polish,russian german slovak,47,female,15,academic,usa,14 years,polish4
281,"bahia, brazil",bahia,portuguese,spanish,37,female,16,academic,usa,1 years,portuguese1
282,"novo hamburgo, rio grande do sul, brazil",novo hamburgo,portuguese,spanish,21,male,13,academic,usa,0.5 years,portuguese10
283,"brasilia, brazil",brasilia,portuguese,spanish,18,female,10,academic,usa,0.2 years,portuguese2
284,"blumenau, brazil",blumenau,portuguese,spanish,18,female,15,academic,usa,1.2 years,portuguese3
285,"cabinda, angola",cabinda,portuguese,french spanish,20,male,15,academic,usa,1 years,portuguese4
286,"lubango, angola",lubango,portuguese,spanish german,31,male,13,academic,usa,1 years,portuguese5
287,"sao paulo, brazil",sao paulo,portuguese,none,44,male,15,academic,usa,0.1 years,portuguese6
288,"vitoria, brazil",vitoria,portuguese,spanish,40,male,11,naturalistic,,0 years,portuguese7
289,"fortaleza, brazil",fortaleza,portuguese,french spanish,26,male,7,academic,uk,8.5 years,portuguese8
290,"sao paulo, brazil",sao paulo,portuguese,french spanish,18,male,14,academic,usa,2 years,portuguese9
291,"sargodha, pakistan",sargodha,punjabi,urdu,34,male,10,academic,usa,0.25 years,punjabi1
